D_foul1 (m),D_foul2 (m),D_foul3 (m),mfr1 (kg/s),mfr2 (kg/s),Inner inlet temperature (K),Inner outlet temperature (K),Outer inlet temperature (K),Outer outlet temperature (K),Inner Pressure Drop (Pa),Outer Pressure Drop (Pa)
6.35E-04,2.13E-04,0.00143,1.071,0.757,342.81,337.61,291.3,298.11,665.5,15.12
8.94E-04,9.37E-04,7.21E-04,0.767,0.461,342.41,338.62,298.44,304.26,390.46,6.4351
7.55E-04,7.17E-04,8.00E-04,0.759,1.047,351.39,344.31,295.98,300.68,365.59,24.889
7.23E-04,0.001245,7.42E-04,1.664,1.826,360.72,356.56,300.7,304.04,1414.3,72.807
0.001023,9.24E-04,7.93E-04,0.659,1.381,342.11,336.11,299.92,302.57,310.72,42.399
2.17E-04,1.05E-04,7.58E-04,0.29,0.801,341.95,328.54,296.6,301.21,74.546,15.152
9.38E-04,7.17E-04,8.66E-04,1.246,1.803,367.06,360.04,304.06,308.35,872.44,69.017
9.65E-04,5.59E-04,4.76E-04,0.142,2.17,370.46,337.59,307.12,309.1,22.729,92.936
1.30E-04,8.58E-04,0.001024,0.222,0.715,358.58,340.93,300.04,305.11,43.742,13.176
4.65E-04,4.38E-04,6.42E-04,0.37,1.729,343.53,330.45,299.18,301.83,120.31,62.269
2.31E-04,3.82E-04,0.001254,1.037,0.713,341.55,336.87,294.96,301.25,583.29,13.322
0.001184,5.79E-04,0.001128,1.381,0.858,346.8,342.83,290.42,296.2,1147.2,18.715
3.44E-04,6.27E-04,0.001386,0.887,1.211,342.51,337.55,305.56,308.91,452.76,34.097
6.40E-04,0.001095,2.29E-04,0.666,2.445,348.81,339.54,291.24,293.58,289.28,121.85
4.35E-04,0.00114,4.81E-04,0.904,2.221,343.56,337.59,295.94,298.16,475.78,103.55
7.43E-04,4.81E-04,8.54E-04,1.696,1.284,371.55,365.28,298.56,305.76,1441.6,35.52
4.10E-04,5.02E-04,7.33E-04,1.702,1.166,368.38,362.43,295.2,302.88,1366.9,29.322
7.71E-04,0.001015,8.31E-04,0.282,1.944,372.34,350.4,303.2,306.11,73.73,81.363
4.52E-04,5.76E-04,9.94E-04,1.067,2.183,370.39,358.91,295.02,300.05,601.45,100.99
7.91E-04,5.52E-04,3.82E-04,1.597,1.368,366.93,360.83,295.9,302.14,1318.1,38.601
3.51E-04,3.76E-04,3.17E-04,1.686,0.805,369.44,364.22,301.78,311.27,1324.9,13.936
2.65E-04,8.16E-04,0.001379,1.411,1.792,370.33,362.64,296.6,301.92,948.94,72.978
1.54E-04,0.001132,0.001002,0.706,1.88,359.57,349.83,298.76,302.09,281.92,78.802
9.01E-04,3.40E-04,8.09E-04,0.816,1.626,347.13,339.54,303.02,306.54,432.48,55.401
1.44E-04,4.14E-04,3.50E-04,0.387,2.462,369.21,342.35,294.88,298.79,107.17,118.28
8.87E-04,9.82E-04,3.87E-04,1.301,0.469,349.08,346.27,297.48,304.53,965.69,6.3778
8.32E-04,3.10E-04,0.001001,1.949,1.364,352.08,347.66,294.96,300.59,1953.1,40.458
0.001147,0.001052,0.001317,1.709,2.07,348.58,344.78,293.24,296.02,1656.2,98.624
3.42E-04,0.00111,0.001132,1.977,1.763,368.08,363.35,295.96,300.58,1763,70.489
9.01E-04,0.001111,7.68E-04,0.142,0.856,360.69,337.65,299.12,302.65,22.29,17.889
3.44E-04,0.001176,8.27E-04,1.12,0.66,344.49,340.86,292.34,297.89,675.41,12.246
1.45E-04,2.70E-04,6.14E-04,0.803,2.343,343.17,332.35,295.78,299.25,371.08,109.69
0.001193,3.56E-04,2.28E-04,0.586,2.334,367.03,351.62,305.52,309.04,247.1,101.9
6.62E-04,2.32E-04,6.25E-04,1.782,0.507,363.63,360.03,304.1,315.16,1569.4,6.4964
0.001148,6.99E-04,6.83E-04,0.964,1.855,353.43,346.31,298.14,301.48,596.55,72.446
7.40E-05,6.87E-04,5.27E-04,0.541,1.635,356.17,345.1,308.74,312.11,178.68,55.055
9.99E-04,2.11E-04,1.35E-04,1.99,2.492,353.56,347.25,291.4,295.94,2093.7,117.51
0.001186,1.22E-04,2.03E-04,0.82,1.792,342.84,335.31,302.68,305.89,467.53,61.985
8.95E-04,7.34E-04,4.07E-04,1.194,1.761,351.48,345.68,296.28,299.86,829.73,64.064
1.18E-04,0.00124,0.001155,1.569,1.053,354.69,350.77,290.6,295.82,1146.7,27.666
0.001195,9.25E-04,6.76E-04,0.205,1.839,370.53,342.62,293.32,296.17,46.805,73.06
